EqupmentIDChar,EquipmentIDNum,EquipmentName,Description,Status,Location
HMB,046,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,047,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,048,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,049,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,050,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,051,Ball-peen Hammer,16 OZ,Available,Primary
HMB,052,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,053,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,054,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,055,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,056,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,057,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,058,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,059,Ball-peen Hammer,16 OZ,Available,Primary
HMB,060,Ball-peen Hammer,16 OZ,Available,Primary
HMB,061,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,062,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,063,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,064,Ball-peen Hammer,16 OZ,Available,Primary
HMB,065,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,066,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,067,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,068,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,069,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,070,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,071,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,072,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,073,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,074,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,075,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,076,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,077,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,078,Ball-peen Hammer,16 OZ,Available,Primary
HMB,079,Ball-peen Hammer,16 OZ,Available,Primary
HMB,080,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,081,Ball-peen Hammer,16 OZ,Available,Primary
HMB,082,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,083,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,084,Ball-peen Hammer,16 OZ,Available,Primary
HMB,085,Ball-peen Hammer,16 OZ,Available,Primary
HMB,086,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,087,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,088,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,089,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,090,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,091,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,092,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,093,Ball-peen Hammer,16 OZ,Available,Primary
HMB,094,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,095,Ball-peen Hammer,16 OZ,Available,Primary
HMB,096,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,097,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,098,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,099,Ball-peen Hammer,16 OZ,Available,Primary
HMB,100,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,101,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,102,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,103,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,104,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,105,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,106,Ball-peen Hammer,16 OZ,Available,Primary
HMB,107,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,108,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,109,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,110,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,111,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,112,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,113,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,114,Ball-peen Hammer,16 OZ,Available,Primary
HMB,115,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,116,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,117,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,118,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,119,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,120,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,121,Ball-peen Hammer,16 OZ,Available,Primary
HMB,122,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,123,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,124,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,125,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,126,Ball-peen Hammer,16 OZ,Available,Primary
HMB,127,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,128,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,129,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,130,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,131,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,132,Ball-peen Hammer,16 OZ,Available,Primary
HMB,133,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,134,Ball-peen Hammer,16 OZ,Available,Primary
HMB,135,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,136,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,137,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,138,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,139,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,140,Ball-peen Hammer,16 OZ,Available,Primary
HMB,141,Ball-peen Hammer,16 OZ,Available,Primary
HMB,142,Ball-peen Hammer,16 OZ,Available,Primary
HMB,143,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,144,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,145,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,146,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,147,Ball-peen Hammer,16 OZ,Available,Primary
HMB,148,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,149,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,150,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,151,Ball-peen Hammer,16 OZ,Available,Primary
HMB,152,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,153,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,154,Ball-peen Hammer,16 OZ,Available,Primary
HMB,155,Ball-peen Hammer,16 OZ,Available,Primary
HMB,156,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,157,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,158,Ball-peen Hammer,16 OZ,Available,Primary
HMB,159,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,160,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,161,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,162,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,163,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,164,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,165,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,166,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,167,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,168,Ball-peen Hammer,16 OZ,Available,Primary
HMB,169,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,170,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,171,Ball-peen Hammer,16 OZ,Available,Primary
HMB,172,Ball-peen Hammer,16 OZ,Available,Primary
HMB,173,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,174,Ball-peen Hammer,16 OZ,Available,Primary
HMB,175,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,176,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,177,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,178,Ball-peen Hammer,16 OZ,Available,Primary
HMB,179,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,180,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,181,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,182,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,183,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,184,Ball-peen Hammer,16 OZ,Available,Primary
HMB,185,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,186,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,187,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,188,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,189,Ball-peen Hammer,16 OZ,Available,Primary
HMB,190,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,191,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,192,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,193,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,194,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,195,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,196,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,197,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,198,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,199,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,200,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,201,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,202,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,203,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,204,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,205,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,206,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,207,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,208,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,209,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,210,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,211,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,212,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,213,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,214,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,215,Ball-peen Hammer,16 OZ,Available,Primary
HMB,216,Ball-peen Hammer,16 OZ,Available,Primary
HMB,217,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,218,Ball-peen Hammer,16 OZ,Available,Primary
HMB,219,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,220,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,221,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,222,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,223,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,224,Ball-peen Hammer,16 OZ,Available,Primary
HMB,225,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,226,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,227,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,228,Ball-peen Hammer,16 OZ,Available,Primary
HMB,229,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,230,Ball-peen Hammer,16 OZ,Available,Primary
HMB,231,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,232,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,233,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,234,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,235,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,236,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,237,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,238,Ball-peen Hammer,16 OZ,Available,Primary
HMB,239,Ball-peen Hammer,16 OZ,Available,Primary
HMB,240,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,241,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,242,Ball-peen Hammer,16 OZ,Available,Primary
HMB,243,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,244,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,245,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,246,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,247,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,248,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,249,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,250,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,251,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,252,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,253,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,254,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,255,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,256,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,257,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,258,Ball-peen Hammer,16 OZ,Available,Primary
HMB,259,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,260,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,261,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,262,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,263,Ball-peen Hammer,16 OZ,Available,Primary
HMB,264,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,265,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,266,Ball-peen Hammer,16 OZ,Available,Primary
HMB,267,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,268,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,269,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,270,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,271,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,272,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,273,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,274,Ball-peen Hammer,16 OZ,Available,Primary
HMB,275,Ball-peen Hammer,16 OZ,Available,Primary
HMB,276,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,277,Ball-peen Hammer,16 OZ,Available,Primary
HMB,278,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,279,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,280,Ball-peen Hammer,16 OZ,Available,Primary
HMB,281,Ball-peen Hammer,16 OZ,Available,Primary
HMB,282,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,283,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,284,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,285,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,286,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,287,Ball-peen Hammer,16 OZ,Available,Primary
HMB,288,Ball-peen Hammer,16 OZ,Available,Primary
HMB,289,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,290,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,291,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,292,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,293,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,294,Ball-peen Hammer,16 OZ,Available,Primary
HMB,295,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,296,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,297,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,298,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,299,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,300,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,301,Ball-peen Hammer,16 OZ,Available,Primary
HMB,302,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,303,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,304,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,305,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,306,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,307,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,308,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,309,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,310,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,311,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,312,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,313,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,314,Ball-peen Hammer,16 OZ,Available,Primary
HMB,315,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,316,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,317,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,318,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,319,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,320,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,321,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,322,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,323,Ball-peen Hammer,16 OZ,Available,Primary
HMB,324,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,325,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,326,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,327,Ball-peen Hammer,16 OZ,Available,Primary
HMB,328,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,329,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,330,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,331,Ball-peen Hammer,16 OZ,Available,Primary
HMB,332,Ball-peen Hammer,16 OZ,Available,Primary
HMB,333,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,334,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,335,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,336,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,337,Ball-peen Hammer,16 OZ,Available,Primary
HMB,338,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,339,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,340,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,341,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,342,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,343,Ball-peen Hammer,16 OZ,Available,Primary
HMB,344,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,345,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,346,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,347,Ball-peen Hammer,16 OZ,Available,Primary
HMB,348,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,349,Ball-peen Hammer,16 OZ,Available,Primary
HMB,350,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,351,Ball-peen Hammer,16 OZ,Checked Out,Out
SI,002,Soldering Iron,120V 70W,Available,Secondary
SI,003,Soldering Iron,120V 70W,Checked Out,Out
SI,004,Soldering Iron,120V 70W,Available,Secondary
SI,005,Soldering Iron,120V 70W,Checked Out,Out
SI,006,Soldering Iron,120V 70W,Checked Out,Out
SI,007,Soldering Iron,120V 70W,Checked Out,Out
SI,008,Soldering Iron,120V 70W,Available,Primary
SI,009,Soldering Iron,120V 70W,Available,Primary
SI,010,Soldering Iron,120V 70W,Checked Out,Out
SI,011,Soldering Iron,120V 70W,Checked Out,Out
SI,012,Soldering Iron,120V 70W,Checked Out,Out
SI,013,Soldering Iron,120V 70W,Checked Out,Out
SI,014,Soldering Iron,120V 70W,Checked Out,Out
SI,015,Soldering Iron,120V 70W,Checked Out,Out
SI,016,Soldering Iron,120V 70W,Checked Out,Out
SI,017,Soldering Iron,120V 70W,Checked Out,Out
SI,018,Soldering Iron,120V 70W,Checked Out,Out
SI,019,Soldering Iron,120V 70W,Available,Secondary
SI,020,Soldering Iron,120V 70W,Checked Out,Out
SI,021,Soldering Iron,120V 70W,Available,Secondary
SI,022,Soldering Iron,120V 70W,Checked Out,Out
SI,023,Soldering Iron,120V 70W,Available,Secondary
SI,024,Soldering Iron,120V 70W,Checked Out,Out
SI,025,Soldering Iron,120V 70W,Checked Out,Out
SI,026,Soldering Iron,120V 70W,Available,Secondary
SI,027,Soldering Iron,120V 70W,Available,Primary
SI,028,Soldering Iron,120V 70W,Checked Out,Out
SI,029,Soldering Iron,120V 70W,Available,Secondary
SI,030,Soldering Iron,120V 70W,Checked Out,Out
SI,031,Soldering Iron,120V 70W,Checked Out,Out
SI,032,Soldering Iron,120V 70W,Available,Primary
SI,033,Soldering Iron,120V 70W,Available,Secondary
SI,034,Soldering Iron,120V 70W,Checked Out,Out
SI,035,Soldering Iron,120V 70W,Checked Out,Out
SI,036,Soldering Iron,120V 70W,Checked Out,Out
SI,037,Soldering Iron,120V 70W,Available,Secondary
SI,038,Soldering Iron,120V 70W,Checked Out,Out
SI,039,Soldering Iron,120V 70W,Available,Secondary
SI,040,Soldering Iron,120V 70W,Available,Primary
SI,041,Soldering Iron,120V 70W,Available,Primary
SI,042,Soldering Iron,120V 70W,Checked Out,Out
SI,043,Soldering Iron,120V 70W,Available,Secondary
SI,044,Soldering Iron,120V 70W,Checked Out,Out
SI,045,Soldering Iron,120V 70W,Checked Out,Out
SI,046,Soldering Iron,120V 70W,Checked Out,Out
SI,047,Soldering Iron,120V 70W,Checked Out,Out
SI,048,Soldering Iron,120V 70W,Checked Out,Out
SI,049,Soldering Iron,120V 70W,Checked Out,Out
SI,050,Soldering Iron,120V 70W,Checked Out,Out
SI,051,Soldering Iron,120V 70W,Checked Out,Out
SI,052,Soldering Iron,120V 70W,Checked Out,Out
SI,053,Soldering Iron,120V 70W,Available,Primary
SI,054,Soldering Iron,120V 70W,Available,Secondary
SI,055,Soldering Iron,120V 70W,Available,Primary
SI,056,Soldering Iron,120V 70W,Available,Primary
SI,057,Soldering Iron,120V 70W,Available,Primary
SI,058,Soldering Iron,120V 70W,Available,Primary
SI,059,Soldering Iron,120V 70W,Checked Out,Out
SI,060,Soldering Iron,120V 70W,Available,Secondary
SI,061,Soldering Iron,120V 70W,Checked Out,Out
SI,062,Soldering Iron,120V 70W,Available,Secondary
SI,063,Soldering Iron,120V 70W,Checked Out,Out
SI,064,Soldering Iron,120V 70W,Available,Primary
SI,065,Soldering Iron,120V 70W,Checked Out,Out
SI,066,Soldering Iron,120V 70W,Available,Secondary
SI,067,Soldering Iron,120V 70W,Checked Out,Out
SI,068,Soldering Iron,120V 70W,Available,Primary
SI,069,Soldering Iron,120V 70W,Available,Secondary
SI,070,Soldering Iron,120V 70W,Available,Primary
SI,071,Soldering Iron,120V 70W,Checked Out,Out
SI,072,Soldering Iron,120V 70W,Checked Out,Out
SI,073,Soldering Iron,120V 70W,Checked Out,Out
SI,074,Soldering Iron,120V 70W,Checked Out,Out
SI,075,Soldering Iron,120V 70W,Available,Primary
SI,076,Soldering Iron,120V 70W,Available,Primary
SI,077,Soldering Iron,120V 70W,Checked Out,Out
SI,078,Soldering Iron,120V 70W,Checked Out,Out
SI,079,Soldering Iron,120V 70W,Available,Primary
SI,080,Soldering Iron,120V 70W,Checked Out,Out
SI,081,Soldering Iron,120V 70W,Available,Primary
SI,082,Soldering Iron,120V 70W,Checked Out,Out
SI,083,Soldering Iron,120V 70W,Checked Out,Out
SI,084,Soldering Iron,120V 70W,Checked Out,Out
SI,085,Soldering Iron,120V 70W,Checked Out,Out
SI,086,Soldering Iron,120V 70W,Checked Out,Out
SI,087,Soldering Iron,120V 70W,Checked Out,Out
SI,088,Soldering Iron,120V 70W,Checked Out,Out
SI,089,Soldering Iron,120V 70W,Available,Primary
SI,090,Soldering Iron,120V 70W,Available,Primary
SI,091,Soldering Iron,120V 70W,Available,Secondary
SI,092,Soldering Iron,120V 70W,Available,Secondary
SI,093,Soldering Iron,120V 70W,Available,Secondary
SI,094,Soldering Iron,120V 70W,Available,Secondary
SI,095,Soldering Iron,120V 70W,Checked Out,Out
SI,096,Soldering Iron,120V 70W,Available,Primary
SI,097,Soldering Iron,120V 70W,Available,Primary
SI,098,Soldering Iron,120V 70W,Checked Out,Out
SI,099,Soldering Iron,120V 70W,Checked Out,Out
SI,100,Soldering Iron,120V 70W,Available,Secondary
SI,101,Soldering Iron,120V 70W,Checked Out,Out
SI,102,Soldering Iron,120V 70W,Available,Secondary
SI,103,Soldering Iron,120V 70W,Checked Out,Out
SI,104,Soldering Iron,120V 70W,Checked Out,Out
SI,105,Soldering Iron,120V 70W,Available,Secondary
SI,106,Soldering Iron,120V 70W,Checked Out,Out
SI,107,Soldering Iron,120V 70W,Checked Out,Out
SI,108,Soldering Iron,120V 70W,Checked Out,Out
SI,109,Soldering Iron,120V 70W,Available,Primary
