EquipmentIDChar,EquipmentIDNum,EQUIPMENTNAME,DESCRIPTION,STATUS,LOCATON
HMB,121,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,122,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,123,Ball-peen Hammer,16 OZ,Available,Primary
HMB,124,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,125,Ball-peen Hammer,16 OZ,Available,Primary
HMB,126,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,127,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,128,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,129,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,130,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,131,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,132,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,133,Ball-peen Hammer,16 OZ,Available,Primary
HMB,134,Ball-peen Hammer,16 OZ,Available,Primary
HMB,135,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,136,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,137,Ball-peen Hammer,16 OZ,Available,Primary
HMB,138,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,139,Ball-peen Hammer,16 OZ,Available,Primary
HMB,140,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,141,Ball-peen Hammer,16 OZ,Available,Primary
HMB,142,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,143,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,144,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,145,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,146,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,147,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,148,Ball-peen Hammer,16 OZ,Available,Primary
HMB,149,Ball-peen Hammer,16 OZ,Available,Primary
HMB,150,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,151,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,152,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,153,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,154,Ball-peen Hammer,16 OZ,Available,Primary
HMB,155,Ball-peen Hammer,16 OZ,Available,Primary
HMB,156,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,157,Ball-peen Hammer,16 OZ,Available,Primary
HMB,158,Ball-peen Hammer,16 OZ,Available,Primary
HMB,159,Ball-peen Hammer,16 OZ,Available,Primary
HMB,160,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,161,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,162,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,163,Ball-peen Hammer,16 OZ,Available,Primary
HMB,164,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,165,Ball-peen Hammer,16 OZ,Available,Primary
HMB,166,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,167,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,168,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,169,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,170,Ball-peen Hammer,16 OZ,Available,Primary
HMB,171,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,172,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,173,Ball-peen Hammer,16 OZ,Available,Primary
HMB,174,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,175,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,176,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,177,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,178,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,179,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,180,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,181,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,182,Ball-peen Hammer,16 OZ,Available,Primary
HMB,183,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,184,Ball-peen Hammer,16 OZ,Available,Primary
HMB,185,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,186,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,187,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,188,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,189,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,190,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,191,Ball-peen Hammer,16 OZ,Available,Primary
HMB,192,Ball-peen Hammer,16 OZ,Available,Primary
HMB,193,Ball-peen Hammer,16 OZ,Available,Primary
HMB,194,Ball-peen Hammer,16 OZ,Available,Primary
HMB,195,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,196,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,197,Ball-peen Hammer,16 OZ,Available,Primary
HMB,198,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,199,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,200,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,201,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,202,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,203,Ball-peen Hammer,16 OZ,Available,Primary
HMB,204,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,205,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,206,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,207,Ball-peen Hammer,16 OZ,Available,Primary
HMB,208,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,209,Ball-peen Hammer,16 OZ,Available,Primary
HMB,210,Ball-peen Hammer,16 OZ,Available,Primary
HMB,211,Ball-peen Hammer,16 OZ,Available,Primary
HMB,212,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,213,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,214,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,215,Ball-peen Hammer,16 OZ,Available,Primary
HMB,216,Ball-peen Hammer,16 OZ,Available,Primary
HMB,217,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,218,Ball-peen Hammer,16 OZ,Available,Primary
HMB,219,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,220,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,221,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,222,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,223,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,224,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,225,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,226,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,227,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,228,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,229,Ball-peen Hammer,16 OZ,Available,Primary
HMB,230,Ball-peen Hammer,16 OZ,Available,Primary
HMB,231,Ball-peen Hammer,16 OZ,Available,Primary
HMB,232,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,233,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,234,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,235,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,236,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,237,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,238,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,239,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,240,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,241,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,242,Ball-peen Hammer,16 OZ,Available,Primary
HMB,243,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,244,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,245,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,246,Ball-peen Hammer,16 OZ,Available,Primary
HMB,247,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,248,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,249,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,250,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,251,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,252,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,253,Ball-peen Hammer,16 OZ,Available,Primary
HMB,254,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,255,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,256,Ball-peen Hammer,16 OZ,Available,Primary
HMB,257,Ball-peen Hammer,16 OZ,Available,Primary
HMB,258,Ball-peen Hammer,16 OZ,Available,Primary
HMB,259,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,260,Ball-peen Hammer,16 OZ,Available,Primary
HMB,261,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,262,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,263,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,264,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,265,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,266,Ball-peen Hammer,16 OZ,Available,Primary
HMB,267,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,268,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,269,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,270,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,271,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,272,Ball-peen Hammer,16 OZ,Available,Primary
HMB,273,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,274,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,275,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,276,Ball-peen Hammer,16 OZ,Available,Primary
HMB,277,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,278,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,279,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,280,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,281,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,282,Ball-peen Hammer,16 OZ,Available,Primary
HMB,283,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,284,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,285,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,286,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,287,Ball-peen Hammer,16 OZ,Available,Primary
HMB,288,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,289,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,290,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,291,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,292,Ball-peen Hammer,16 OZ,Available,Primary
HMB,293,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,294,Ball-peen Hammer,16 OZ,Available,Primary
HMB,295,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,296,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,297,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,298,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,299,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,300,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,301,Ball-peen Hammer,16 OZ,Available,Primary
HMB,302,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,303,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,304,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,305,Ball-peen Hammer,16 OZ,Available,Primary
HMB,306,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,307,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,308,Ball-peen Hammer,16 OZ,Available,Primary
HMB,309,Ball-peen Hammer,16 OZ,Available,Primary
HMB,310,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,311,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,312,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,313,Ball-peen Hammer,16 OZ,Available,Primary
HMB,314,Ball-peen Hammer,16 OZ,Available,Primary
HMB,315,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,316,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,317,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,318,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,319,Ball-peen Hammer,16 OZ,Available,Primary
HMB,320,Ball-peen Hammer,16 OZ,Available,Primary
HMB,321,Ball-peen Hammer,16 OZ,Available,Primary
HMB,322,Ball-peen Hammer,16 OZ,Available,Primary
HMB,323,Ball-peen Hammer,16 OZ,Available,Primary
HMB,324,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,325,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,326,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,327,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,328,Ball-peen Hammer,16 OZ,Available,Primary
HMB,329,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,330,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,331,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,332,Ball-peen Hammer,16 OZ,Available,Primary
HMB,333,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,334,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,335,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,336,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,337,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,338,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,339,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,340,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,341,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,342,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,343,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,344,Ball-peen Hammer,16 OZ,Available,Primary
HMB,345,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,346,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,347,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,348,Ball-peen Hammer,16 OZ,Available,Primary
HMB,349,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,350,Ball-peen Hammer,16 OZ,Checked Out,Out
SI,1,Soldering Iron,120V 70W,Available,Primary
SI,2,Soldering Iron,120V 70W,Available,Secondary
SI,3,Soldering Iron,120V 70W,Available,Primary
SI,4,Soldering Iron,120V 70W,Available,Primary
SI,5,Soldering Iron,120V 70W,Available,Secondary
SI,6,Soldering Iron,120V 70W,Checked Out,Out
SI,7,Soldering Iron,120V 70W,Checked Out,Out
SI,8,Soldering Iron,120V 70W,Available,Secondary
SI,9,Soldering Iron,120V 70W,Checked Out,Out
SI,10,Soldering Iron,120V 70W,Checked Out,Out
SI,11,Soldering Iron,120V 70W,Checked Out,Out
SI,12,Soldering Iron,120V 70W,Checked Out,Out
SI,13,Soldering Iron,120V 70W,Checked Out,Out
SI,14,Soldering Iron,120V 70W,Checked Out,Out
SI,15,Soldering Iron,120V 70W,Available,Secondary
SI,16,Soldering Iron,120V 70W,Available,Primary
SI,17,Soldering Iron,120V 70W,Checked Out,Out
SI,18,Soldering Iron,120V 70W,Checked Out,Out
SI,19,Soldering Iron,120V 70W,Checked Out,Out
SI,20,Soldering Iron,120V 70W,Checked Out,Out
SI,21,Soldering Iron,120V 70W,Checked Out,Out
SI,22,Soldering Iron,120V 70W,Available,Primary
SI,23,Soldering Iron,120V 70W,Checked Out,Out
SI,24,Soldering Iron,120V 70W,Checked Out,Out
SI,25,Soldering Iron,120V 70W,Available,Primary
SI,26,Soldering Iron,120V 70W,Checked Out,Out
SI,27,Soldering Iron,120V 70W,Available,Primary
SI,28,Soldering Iron,120V 70W,Checked Out,Out
SI,29,Soldering Iron,120V 70W,Checked Out,Out
SI,30,Soldering Iron,120V 70W,Checked Out,Out
SI,31,Soldering Iron,120V 70W,Available,Secondary
SI,32,Soldering Iron,120V 70W,Available,Primary
SI,33,Soldering Iron,120V 70W,Checked Out,Out
SI,34,Soldering Iron,120V 70W,Checked Out,Out
SI,35,Soldering Iron,120V 70W,Available,Primary
SI,36,Soldering Iron,120V 70W,Checked Out,Out
SI,37,Soldering Iron,120V 70W,Checked Out,Out
SI,38,Soldering Iron,120V 70W,Checked Out,Out
SI,39,Soldering Iron,120V 70W,Checked Out,Out
SI,40,Soldering Iron,120V 70W,Checked Out,Out
SI,41,Soldering Iron,120V 70W,Available,Primary
SI,42,Soldering Iron,120V 70W,Available,Secondary
SI,43,Soldering Iron,120V 70W,Available,Secondary
SI,44,Soldering Iron,120V 70W,Checked Out,Out
SI,45,Soldering Iron,120V 70W,Checked Out,Out
SI,46,Soldering Iron,120V 70W,Available,Secondary
SI,47,Soldering Iron,120V 70W,Available,Secondary
SI,48,Soldering Iron,120V 70W,Available,Secondary
SI,49,Soldering Iron,120V 70W,Checked Out,Out
SI,50,Soldering Iron,120V 70W,Checked Out,Out
SI,51,Soldering Iron,120V 70W,Checked Out,Out
SI,52,Soldering Iron,120V 70W,Available,Secondary
SI,53,Soldering Iron,120V 70W,Checked Out,Out
SI,54,Soldering Iron,120V 70W,Available,Primary
SI,55,Soldering Iron,120V 70W,Available,Secondary
SI,56,Soldering Iron,120V 70W,Checked Out,Out
SI,57,Soldering Iron,120V 70W,Available,Secondary
SI,58,Soldering Iron,120V 70W,Checked Out,Out
SI,59,Soldering Iron,120V 70W,Available,Primary
SI,60,Soldering Iron,120V 70W,Checked Out,Out
SI,61,Soldering Iron,120V 70W,Checked Out,Out
SI,62,Soldering Iron,120V 70W,Checked Out,Out
SI,63,Soldering Iron,120V 70W,Available,Primary
SI,64,Soldering Iron,120V 70W,Checked Out,Out
SI,65,Soldering Iron,120V 70W,Available,Secondary
SI,66,Soldering Iron,120V 70W,Checked Out,Out
SI,67,Soldering Iron,120V 70W,Checked Out,Out
SI,68,Soldering Iron,120V 70W,Available,Secondary
SI,69,Soldering Iron,120V 70W,Checked Out,Out
SI,70,Soldering Iron,120V 70W,Checked Out,Out
SI,71,Soldering Iron,120V 70W,Checked Out,Out
SI,72,Soldering Iron,120V 70W,Checked Out,Out
SI,73,Soldering Iron,120V 70W,Available,Primary
SI,74,Soldering Iron,120V 70W,Available,Secondary
SI,75,Soldering Iron,120V 70W,Available,Secondary
SI,76,Soldering Iron,120V 70W,Checked Out,Out
SI,77,Soldering Iron,120V 70W,Available,Primary
SI,78,Soldering Iron,120V 70W,Checked Out,Out
SI,79,Soldering Iron,120V 70W,Available,Secondary
SI,80,Soldering Iron,120V 70W,Checked Out,Out
SI,81,Soldering Iron,120V 70W,Available,Primary
SI,82,Soldering Iron,120V 70W,Checked Out,Out
SI,83,Soldering Iron,120V 70W,Checked Out,Out
SI,84,Soldering Iron,120V 70W,Checked Out,Out
SI,85,Soldering Iron,120V 70W,Checked Out,Out
SI,86,Soldering Iron,120V 70W,Checked Out,Out
SI,87,Soldering Iron,120V 70W,Checked Out,Out
SI,88,Soldering Iron,120V 70W,Checked Out,Out
SI,89,Soldering Iron,120V 70W,Checked Out,Out
SI,90,Soldering Iron,120V 70W,Checked Out,Out
SI,91,Soldering Iron,120V 70W,Checked Out,Out
SI,92,Soldering Iron,120V 70W,Checked Out,Out
SI,93,Soldering Iron,120V 70W,Checked Out,Out
SI,94,Soldering Iron,120V 70W,Available,Primary
SI,95,Soldering Iron,120V 70W,Checked Out,Out
SI,96,Soldering Iron,120V 70W,Available,Secondary
SI,97,Soldering Iron,120V 70W,Available,Primary
SI,98,Soldering Iron,120V 70W,Checked Out,Out
SI,99,Soldering Iron,120V 70W,Checked Out,Out
SI,100,Soldering Iron,120V 70W,Checked Out,Out
SI,101,Soldering Iron,120V 70W,Available,Secondary
SI,102,Soldering Iron,120V 70W,Available,Secondary
SI,103,Soldering Iron,120V 70W,Available,Secondary
SI,104,Soldering Iron,120V 70W,Available,Primary
SI,105,Soldering Iron,120V 70W,Available,Primary
SI,106,Soldering Iron,120V 70W,Available,Secondary
SI,107,Soldering Iron,120V 70W,Available,Secondary
